Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1961","1961","ha","12927000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","15","Wheat","1961","1961","hg/ha","8507","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","1735","Vegetables Primary","1961","1961","ha","2763350","E","Estimated value"
"QCL","Crops and livestock products","100","India","5419","Yield","1735","Vegetables Primary","1961","1961","hg/ha","66106","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","27","Rice","1961","1961","ha","34694000","A","Official figure"
"QCL","Crops and livestock products","100","India","5419","Yield","27","Rice","1961","1961","hg/ha","15419","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","15","Wheat","1961","1961","ha","56657","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","15","Wheat","1961","1961","hg/ha","5738","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","1735","Vegetables Primary","1961","1961","ha","157150","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","1735","Vegetables Primary","1961","1961","hg/ha","51320","E","Estimated value"
"QCL","Crops and livestock products","16","Bangladesh","5312","Area harvested","27","Rice","1961","1961","ha","8483516","A","Official figure"
"QCL","Crops and livestock products","16","Bangladesh","5419","Yield","27","Rice","1961","1961","hg/ha","17005","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","15","Wheat","1961","1961","ha","4639000","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","15","Wheat","1961","1961","hg/ha","8222","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","1735","Vegetables Primary","1961","1961","ha","122400","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","1735","Vegetables Primary","1961","1961","hg/ha","53734","E","Estimated value"
"QCL","Crops and livestock products","165","Pakistan","5312","Area harvested","27","Rice","1961","1961","ha","1214475","A","Official figure"
"QCL","Crops and livestock products","165","Pakistan","5419","Yield","27","Rice","1961","1961","hg/ha","13915","E","Estimated value"
"QCL","Crops and livestock products","100","India","5312","Area harvested","15","Wheat","1962","1962","ha","13570000","A","Official figure"
